200 200
-470 -174 -489
271 -89 47
-347 20 290
424 -312 263
440 351 162
329 400 213
458 78 -135
-493 -23 -300
-442 -61 -197
260 -143 -176
-23 -392 -387
387 301 350
-40 -72 493
-116 -95 40
-389 204 335
-144 -428 -150
323 -15 56
-284 126 -143
26 -143 -163
-229 369 -139
396 -478 117
-388 217 196
85 -459 -77
-371 -271 65
59 432 -204
355 -447 462
84 234 154
472 -43 -131
32 463 107
-17 411 135
-433 348 175
438 -277 -358
254 11 241
-325 -41 325
-279 370 126
434 -295 283
350 -102 -221
201 -307 234
137 34 56
493 -324 205
462 48 381
-200 -87 141
355 355 -358
-38 111 377
-76 178 252
-57 -204 173
-460 -187 375
-428 318 110
-483 432 -388
195 -331 331
-460 -12 185
-410 -3 89
490 -355 -147
-186 151 240
-456 -242 -165
259 -308 105
-236 -319 3
329 275 108
-208 497 49
56 61 127
-33 41 -371
-260 313 -326
101 -423 -285
183 -287 492
324 101 -108
259 170 -72
-473 -416 -425
286 -2 470
-213 347 104
3 -279 163
206 -137 -490
-329 -11 -260
-336 42 119
413 91 204
318 -268 250
-295 475 39
-197 -78 -402
-253 84 148
471 364 413
-425 45 212
46 178 269
-238 19 485
-211 444 365
40 -255 8
-182 370 101
-177 -368 -28
-348 -413 70
263 401 -397
-77 27 100
469 -485 65
-472 43 -153
-412 443 137
-91 -37 -451
181 88 -158
108 -440 -279
258 454 388
-354 190 449
343 -70 120
248 -433 36
283 -465 -274
-315 -462 353
129 -276 248
423 -141 -243
266 444 455
-182 226 -89
-475 -145 -499
49 -4 84
15 464 -158
-425 413 -358
-304 448 -428
-74 106 -327
-71 -96 205
126 312 -125
-407 65 -464
236 -359 314
494 -244 152
436 338 -18
-145 -485 -369
-270 341 125
-489 137 -314
190 150 162
134 393 -147
-84 -48 -492
-238 -267 -46
-197 134 -197
-244 -352 -376
-183 -287 -391
-472 -300 -420
-182 358 -450
-345 -139 -236
403 176 143
409 402 61
-11 448 -218
153 174 -280
-98 423 331
-131 378 -241
-492 119 471
-497 445 281
4 -108 185
-187 198 89
222 438 -463
-90 -39 -266
8 461 459
-7 15 -231
437 369 -442
200 471 -236
-383 -285 55
315 -170 -461
-288 -212 -418
454 -415 210
-16 274 -120
315 451 41
-385 179 -390
398 -427 288
477 -368 456
189 -387 -492
441 290 223
-137 -472 -316
278 -300 -429
385 474 -429
-167 367 -347
-205 -332 325
176 129 150
98 -191 193
186 -420 -384
-251 167 28
179 364 -79
-95 326 316
16 226 166
-413 181 464
-160 186 -479
162 221 -436
-191 -85 402
373 -376 441
245 262 -77
31 306 -232
-182 102 407
-193 -19 -488
-364 130 -386
309 -416 56
-210 -207 496
-348 -446 -155
208 -252 -9
212 -369 -386
-61 458 222
204 495 -448
-231 -21 -262
-77 418 366
159 -2 -14
-304 -38 133
-342 -478 -354
-108 -463 425
147 -42 102
307 -402 330
-208 100 -222
299 -148 -52
382 40 -185
75 262 67
-164 -103 -82
397 328 351
316 -270 -51
425 158 -271
20 440 60
-353 -338 155
175 292 -139
254 -102 -354
214 446 -312
69 138 163
-425 15 21
-25 115 28
-266 70 405
-36 57 462
-339 24 49
-31 -170 423
-150 -167 425
410 237 -164
-163 -222 -107
136 214 -336
91 449 -365
5 -163 -496
-163 123 164
470 108 68
-219 -415 -348
-127 152 -306
376 326 -104
72 -251 140
-326 319 443
111 441 -211
-81 65 305
85 -284 -50
115 109 -436
-334 393 -426
